Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
VIAC,"Viacomcbs Inc Cl B",36.32,1.43,+4.10%,34.92,36.35,34.91,2443898,"12:51 ET"
VIACA,"Viacomcbs Inc Cl A",36.96,1.01,+2.81%,35.75,36.98,35.64,23543,"12:44 ET"
VICI,"Vici Properties Inc",26.01,0.080000000000002,+0.31%,26.12,26.23,25.98,723451,"12:52 ET"
VIRT,"Virtu Financial Cm A",25.19,-0.07,-0.28%,25.33,25.65,25.09,318261,"12:51 ET"
VLO,"Valero Energy Corp",55.65,1.95,+3.63%,54.25,55.91,54,1452661,"12:51 ET"
VMC,"Vulcan Materials Company",143.13,-0.14000000000001,-0.10%,143.19,143.87,141.27,220541,"12:52 ET"
VMI,"Valmont Industries",173.21,0.26000000000002,+0.15%,173.87,174.76,172.32,21724,"12:41 ET"
VMW,"Vmware Inc",143.73,3.19,+2.27%,140.72,144.07,140.72,377381,"12:51 ET"
VNO,"Vornado Realty Trust",36.35,0.94,+2.65%,35.58,36.45,35.45,410129,"12:51 ET"
VNT,"Vontier Corp [Vnt/I]",34.08,0.039999999999999,+0.12%,34.35,34.35,33.98,236755,"12:48 ET"
VOYA,"VOYA Financial Inc",56.9,1.45,+2.61%,55.79,57.03,55.74,239749,"12:49 ET"
VRM,"Vroom Inc",43.51,-0.19,-0.43%,44.47,44.6,42.83,1234470,"12:40 ET"
VRSK,"Verisk Analytics Inc",201.75,-0.18000000000001,-0.09%,202.73,203.16,200.58,142166,"12:49 ET"
VRSN,"Verisign Inc",216.16,-0.18000000000001,-0.08%,215.93,217.35,215.1,88810,"12:50 ET"
VRT,"Vertiv Holdings Llc.",18.99,0.029999999999998,+0.16%,19.05,19.1,18.89,661423,"12:50 ET"
VRTX,"Vertex Pharmaceutic",236.28,1.38,+0.59%,235.4,238.57,234.08,494643,"12:52 ET"
VSAT,"Viasat Inc",32.6,0.57,+1.78%,32.07,33.3,31.96,421807,"12:52 ET"
VST,"Vistra Energy Corp",18.5,0.37,+2.04%,18.25,18.51,18.08,1227783,"12:51 ET"
VTR,"Ventas Inc",49.03,-0.21,-0.43%,49.58,49.96,48.87,428266,"12:51 ET"
VTRS,"Viatris Inc",17.94,0.2,+1.13%,17.74,17.94,17.64,2639639,"12:52 ET"
VVV,"Valvoline Inc",23.47,0.31,+1.34%,23.34,23.56,23.22,219282,"12:48 ET"
VZ,"Verizon Communications Inc",59.1,0.11,+0.19%,59.2,59.28,58.88,5714878,"12:52 ET"
W,"Wayfair Inc",265.05,-19.79,-6.95%,282.01,284.69,264,971391,"12:52 ET"
