Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
MDU,"Mdu Res Group Inc",25.62,0.12,+0.47%,25.93,25.53,240494,"12:50 ET"
MEDP,"Medpace Holdings Inc",138.72,-1.26,-0.90%,140.24,136.84,47861,"12:53 ET"
MIDD,"Middleby Corp",130.03,1.54,+1.20%,131,128.29,236316,"12:52 ET"
MKSI,"Mks Instruments Inc",149.29,0.91,+0.61%,150.14,147.5,149277,"12:50 ET"
MLHR,"Miller Herman Inc",33.49,0.28,+0.84%,33.87,32.75,334363,"12:52 ET"
MMS,"Maximus Inc",73.14,1.41,+1.97%,73.29,71.61,169736,"12:53 ET"
MOH,"Molina Healthcare Inc",209.17,3.44,+1.67%,210.03,205.91,61893,"12:50 ET"
MPW,"Medical Properties Trust",21.66,0.09,+0.42%,21.96,21.64,1073836,"12:51 ET"
MPWR,"Monolithic Power Sys",359.48,5.42,+1.53%,361.88,351.27,232658,"12:52 ET"
MRCY,"Mercury Sys Inc",86.95,1.89,+2.22%,86.99,85.18,47533,"12:49 ET"
MSA,"Msa Safety Inc",148.45,1.63,+1.11%,149.1,147.05,44211,"12:42 ET"
MSM,"Msc Industrial Direct Company",85.49,-0.12,-0.14%,86.19,84.9,159397,"12:49 ET"
MTG,"Mgic Investment Corp",12.45,0.12,+0.97%,12.6,12.39,715200,"12:53 ET"
MTX,"Minerals Technologies Inc",60.61,0.32,+0.53%,61.36,60.42,21296,"12:38 ET"
MTZ,"Mastec Inc",69.85,1.05,+1.53%,70.58,68.75,256495,"12:50 ET"
MUR,"Murphy Oil Corp",12.22,0.72,+6.26%,12.44,11.66,2074608,"12:53 ET"
MUSA,"Murphy USA Inc",129.83,1.41,+1.10%,130.91,128.08,39979,"12:52 ET"
NATI,"Natl Instruments Cor",43.11,0.48,+1.13%,43.28,41.43,242700,"12:53 ET"
NAVI,"Navient Cp",9.75,0.45,+4.84%,9.83,9.31,1124949,"12:50 ET"
